category,subcategory,specific_type,place_name,google_plus_code,lat,lon,metadata,dimension,polygon_file
Food and Drink,Specialty food experiences,Sake breweries,Hitachino Brewing Lab,"PQ2F+47 Chiyoda City, Tokyo, Japan",35.7003125,139.7731875,"Hitachino Brewing Lab is a premier craft beer destination operated by Ibaraki's historic Kiuchi Brewery, famed globally for Hitachino Nest beers. It functions as both a taproom and an experimental lab, offering hands-on brewing classes, fresh-hop tastings, and unique seasonal brews on tap.",marker,
Shopping,Famous stores and retail chains,Shopping complex,Tokyo Kabukicho tower,"MPW2+86 Shinjuku City, Tokyo, Japan",35.6958125,139.7005625,"One of Japan’s largest entertainment complexes in the heart of Kabukicho. Inside are game arcades, immersive attractions, an amusement casino, nightclubs, and observation spaces with city views. A highlight is Shinjuku Kabuki Hall, serving regional Japanese dishes with daily live performances in a lively izakaya-style setting",marker,
Shopping,Famous stores and retail chains,Shopping complex,GINZA SIX,"MQ97+WM Chuo City, Tokyo, Japan",35.6698125,139.7641875,Ginza Six is a luxury shopping complex located in the Ginza area of Tokyo,marker,
Shopping,Famous stores and retail chains,Shopping complex,Umeda sky building,"PF4Q+4V Osaka, Japan",34.7053125,135.4896875,"The Umeda Sky Building is a two-tower mixed-use skyscraper. It houses the Kuchu Teien Observatory connecting the Tower East and Tower West on the 39th, 40th and rooftop floors",marker,
Shopping,Famous stores and retail chains,Don Quijote,Don Quijote Asakusa,"PQ7V+G6 Taito City, Tokyo, Japan",35.7138125,139.7930625,,marker,
Shopping,Famous stores and retail chains,Don Quijote,Don Quijote Okachimachi,"PQ5F+7Q Taito City, Tokyo, Japan",35.7081875,139.7744375,,marker,
Shopping,Famous stores and retail chains,Don Quijote,Don Quijote Ueno,"PQ5C+69 Bunkyo City, Tokyo, Japan",35.7080625,139.7709375,,marker,
Shopping,Famous stores and retail chains,Don Quijote,Don Quijote Akihabara,"PQ2C+7M Chiyoda City, Tokyo, Japan",35.7006875,139.7716875,,marker,
Shopping,Famous stores and retail chains,Don Quijote,Don Quijote Shinjuku Kabukicho,"MPV2+GP Shinjuku City, Tokyo, Japan",35.6938125,139.7018125,,marker,
Shopping,Famous stores and retail chains,Don Quijote,MEGA Don Quijote,"MM6X+54 Shibuya, Tokyo, Japan",35.6604375,139.6978125,"A supersized version of Don Quijote, Japan's most famous discount store chain. Known for their chaotic, treasure-hunt atmosphere, this multi-story location spans hundreds of thousands of square feet and stock almost anything imaginable at highly discounted prices",marker,
Shopping,Famous stores and retail chains,HANDS,HANDS Shinjuku Store,"MPP2+RV Shibuya, Tokyo, Japan",35.6870625,139.7021875,"A legendary Japanese department store chain renowned as a one-stop-shop for DIY, crafts, high-quality stationery, unique home goods, and cosmetics",marker,
Shopping,Famous stores and retail chains,HANDS,HANDS Shibuya,"MM6X+R5 Shibuya, Tokyo, Japan",35.6620625,139.6979375,"A legendary Japanese department store chain renowned as a one-stop-shop for DIY, crafts, high-quality stationery, unique home goods, and cosmetics",marker,
Shopping,Famous stores and retail chains,HANDS,HANDS Ginza,"MQF8+Q5 Chuo City, Tokyo, Japan",35.6744375,139.7654375,"A legendary Japanese department store chain renowned as a one-stop-shop for DIY, crafts, high-quality stationery, unique home goods, and cosmetics",marker,
Shopping,Famous stores and retail chains,HANDS,HANDS Tokyo Store,"MQJ9+FF Chiyoda City, Tokyo, Japan",35.6811875,139.7686875,"A legendary Japanese department store chain renowned as a one-stop-shop for DIY, crafts, high-quality stationery, unique home goods, and cosmetics",marker,
Shopping,Famous stores and retail chains,Nintendo stores,Nintendo Tokyo,"MM6X+RF Shibuya, Tokyo, Japan",35.6620625,139.6986875,"Nintendo Tokyo is the company’s flagship official store in Japan, located on the 6th floor of the Shibuya Parco department store. It is a premier destination for fans, offering exclusive merchandise, interactive gaming stations, and a massive selection of themed goods from iconic franchises like Mario, Zelda, Animal Crossing, and Splatoon.",marker,
Shopping,Famous stores and retail chains,Nintendo stores,Nintendo OSAKA,"PF2W+PJ Osaka, Japan",34.7018125,135.4965625,"Nintendo OSAKA is the region's official, direct-operated flagship store located on the 13th floor of the Daimaru Umeda Department Store in Umeda, Osaka. It offers a massive selection of exclusive character merchandise from popular franchises like Super Mario, Animal Crossing, Splatoon, and The Legend of Zelda.",marker,
Shopping,Famous stores and retail chains,Department stores,SEIBU Shibuya Store,"MP62+34 Shibuya, Tokyo, Japan",35.6601875,139.7003125,"Shibuya's notable 5-building department store for fashion, cosmetics, home goods, restaurants, more.",marker,
Shopping,Famous stores and retail chains,Department stores,Matsuya Ginza,"MQC8+WM Chuo City, Tokyo, Japan",35.6723125,139.7666875,"Historic department store in Tokyo. Rooted in the Ginza shopping district, it is celebrated for its highly curated luxury fashion boutiques, rotating art exhibitions, and an expansive basement food hall that is a prime destination for gourmet Japanese delicacies, wines, and gifts.",marker,
Shopping,Famous stores and retail chains,Department stores,Mitsukoshi Ginza,"MQC8+G7 Chuo City, Tokyo, Japan",35.6713125,139.7656875,"Located in the heart of Tokyo's premier shopping district on the famous Ginza 4-Chome intersection Ginza Mitsukoshi - Where to Shop, Access, Hours & Price, Mitsukoshi Ginza is a historic, luxury department store offering everything from high-end designer fashion and expansive cosmetics floors to an incredible basement food hall",marker,
Shopping,Famous stores and retail chains,Department stores,Shinjuku Takashimaya,"MPQ2+3V Shibuya, Tokyo, Japan",35.6876875,139.7021875,"Shinjuku Takashimaya is a mammoth 16-story department store in Tokyo. Located inside Takashimaya Times Square and just a 2-minute walk from JR Shinjuku Station, it offers a premium shopping experience featuring international luxury brands, fashion, a massive depachika food hall, and diverse rooftop dining.",marker,
Shopping,Shopping districts,Kitchenware streets,Kappabashi Kitchen Supply Town,"PQ6Q+65 Taito City, Tokyo, Japan",35.7105625,139.7879375,"Treasure trove of kitchenware, plastic food samples and crockery",polygon,kappabashi_kitchen_supply_town.csv
Shopping,Shopping districts,Bookstore neighborhoods,Jimbocho Book Town,"MQW4+7W Chiyoda City, Tokyo, Japan",35.6956875,139.7573125,"Jimbocho Book Town in central Tokyo is the world's largest used-bookstore district. Located in the Kanda area, it features over 100 specialty bookshops, vintage cafes, and curry houses. It is an ideal destination for finding rare art books, antique maps, Ukiyo-e prints, and out-of-print literature.",polygon,
Shopping,Traditional shopping,Stationary stores,ITOYA Shinjuku Store,"MMRX+7G Shinjuku City, Tokyo, Japan",35.6906875,139.6988125,"Highly curated stationery boutique located on the 5th floor of the Keio Department Store. It provides a refined selection of high-quality Japanese and imported writing instruments, leather goods, and premium paper, offering a convenient, premium shopping experience for creative enthusiasts.",marker,
Shopping,Traditional shopping,Stationary stores,Ginza Itoya,"MQF8+7V Chuo City, Tokyo, Japan",35.6731875,139.7671875,"Founded in 1904, Ginza Itoya is Tokyo’s legendary, multi-story stationery haven. Easily recognizable by its giant red paperclip landmark, the flagship features over a dozen themed floors dedicated to fine writing instruments, premium Japanese paper, desk tools, and bespoke customization services for stationery and art enthusiasts alike.",marker,
Shopping,Traditional shopping,Stationary stores,Sekaido Shinjuku,"MPR4+2H Shinjuku City, Tokyo, Japan",35.6900625,139.7064375,,marker,
Shopping,Traditional shopping,Stationary stores,Kyukyodo,"MQC7+CR Chuo City, Tokyo, Japan",35.6710625,139.7645625,"Kyukyodo is one of Japan’s oldest and most prestigious houses, famous for its high-quality incense, calligraphy supplies, and traditional paper goods. Founded in 1663 as a pharmacy, the historic brand has roots in Kyoto and served as the official stationer to the Imperial House of Japan.",marker,
Shopping,Traditional shopping,Craft shops,Aoyama Square,"MPFH+92 Minato City, Tokyo, Japan",35.6734375,139.7275625,"Japan Traditional Crafts Aoyama Square in Tokyo is a premier curated gallery and shop dedicated to authentic, centuries-old Japanese handicrafts. It is the only facility in the country where visitors can view and purchase over 100 varieties of traditional, locally made items—from fine ceramics and lacquerware to textiles and woodwork—all in one location.",marker,
Culture and History,Historical sites,Temples and Shrines,Fushimi Inari Shrine,"XQ99+FP Kyoto, Japan",34.968234,135.769322,"Fushimi Inari Shrine is an ancient, sprawling Shinto complex in southern Kyoto famous for its thousands of vibrant vermilion torii gates. Founded in 711 AD, it is the head of over 30,000 Inari shrines across Japan. It is dedicated to the Shinto god of rice, agriculture, and business prosperity.",marker,
Culture and History,Historical sites,Temples and Shrines,Senso-Ji temple,"PQ7W+WM Taito City, Tokyo, Japan",35.7148125,139.7966875,"Senso-ji is Tokyo’s oldest and most iconic Buddhist temple, dedicated to Kannon, the bodhisattva of mercy. Established in 645 AD, the complex features a massive Thunder Gate, a towering five-story pagoda, and the bustling Nakamise shopping street, drawing millions of visitors annually.",marker,
Culture and History,Historical sites,Temples and Shrines,Meiji Shrine,"MMGX+HP Shibuya, Tokyo, Japan",35.6764375,139.6993125,"Meiji Shrine (Meiji Jingu) is a tranquil Shinto sanctuary in the heart of Tokyo, dedicated to Emperor Meiji and Empress Shoken. Completed in 1920, the shrine is nestled within a sprawling, man-made forest of 120,000 trees, offering a peaceful escape from the bustling city streets of Shibuya.",marker,
Culture and History,Historical sites,Palaces and Castles,Imperial Palace,"MQP3+34 Chiyoda City, Tokyo, Japan",35.6851875,139.7528125,"The Tokyo Imperial Palace is the primary residence of the Emperor of Japan. Located in the heart of Chiyoda Ward, this expansive, 1.15-square-kilometer oasis is built upon the historical site of the former Edo Castle and is famed for its sprawling lawns, classical moats, and iconic Nijubashi bridges.",polygon,
Culture and History,Historical sites,Preserved Edo towns,Gion Shinbashi Bridge,"2Q4F+7V Kyoto, Japan",35.0056875,135.7746875,"Located in Kyoto’s historic Higashiyama Ward, the Gion Shinbashi Bridge (and the neighboring Tatsumi Bridge) gracefully spans the serene, willow-lined Shirakawa Canal. It is the crown jewel of the Shinbashi district, celebrated as one of Japan's most picturesque, preservation-worthy streets.",marker,
Culture and History,Historical sites,Preserved Edo towns,Kashihara city,"GQ4M+PC Kashihara, Nara, Japan",34.5068125,135.7835625,,polygon,
Culture and History,Museums,Art museums,Mori Art Museum,"MP6H+5P Minato City, Tokyo, Japan",35.6604375,139.7293125,"Perched on the 53rd floor of the Roppongi Hills Mori Tower in Tokyo, the Mori Art Museum is one of the world's most iconic sky-high contemporary art institutions. It showcases cutting-edge visual arts, architecture, and design while offering sweeping, panoramic views of the Tokyo skyline.",marker,
Culture and History,Museums,Art museums,Tokyo Metropolitan Art Museum,"PQ8F+V5 Taito City, Tokyo, Japan",35.7171875,139.7729375,"Located in the heart of Ueno Park, the Tokyo Metropolitan Art Museum is Japan’s first public art museum, originally opened in 1926. Known for its rotating exhibitions rather than a permanent collection, it regularly hosts major international retrospectives, contemporary Japanese art shows, and large-scale public exhibitions. The current building, designed by modernist architect Kunio Maekawa, blends concrete modernism with the greenery of Ueno Park, giving the museum a calm, understated atmosphere. Beyond the galleries, it functions as a community-focused 'doorway to art,' with cafés, sculpture spaces, and programs that make it approachable even for casual visitors.",marker,
Culture and History,Museums,Art museums,Ghibli Park,"53GQ+2G Nagakute, Aichi, Japan",35.1750625,137.0888125,"Ghibli Park is an immersive theme park in Nagakute, Japan, that brings the magical worlds of Studio Ghibli films to life through meticulously designed architecture and lush, natural landscapes. Rather than featuring traditional rides, it invites visitors to freely wander and explore environments inspired by beloved movies like My Neighbor Totoro, Spirited Away, and Howl's Moving Castle.",polygon,
Culture and History,Museums,Art museums,Ghibli Museum,"MHWC+F5 Mitaka, Tokyo, Japan",35.6961875,139.5704375,"The Ghibli Museum in Mitaka, Tokyo, is a whimsical, interactive tribute to the legendary animation studio Ghibli Museum. Conceived by director Hayao Miyazaki, it blends a children's museum, fine arts, and a theater, inviting visitors to step directly into the magical worlds of films like My Neighbor Totoro and Spirited Away.",marker,
Culture and History,Museums,Art museums,The Hakone Open-Air Museum,"63W2+37 Hakone, Kanagawa, Japan",35.245118,139.050697,"Museum featuring an outdoor sculpture park & some indoor exhibits, plus a natural hot spring",marker,
Culture and History,Museums,Game museums,Nintendo Museum,"VQVM+4M Uji, Kyoto, Japan",34.8928125,135.7841875,,marker,
Culture and History,Museums,Science museums,Science and Technology Museum,"MQR3+J6 Chiyoda City, Tokyo, Japan",35.6915625,139.7530625,"The Science Museum in Tokyo is a hands-on, family-friendly destination in Kitanomaru Park. It features interactive exhibits exploring mechanics, robotics, and cutting-edge Japanese industrial technology. While primarily aimed at children, adults and science enthusiasts will find practical, engaging displays.",marker,
Culture and History,Museums,Science museums,Osaka Science Museum,"MFRR+FJ Osaka, Japan",34.6911875,135.4915625,"The Osaka Science Museum is a hands-on, family-friendly destination on Nakanoshima Island. Featuring nearly 200 interactive exhibits across four floors, it explores the themes of "Space and Energy" and boasts a world-class planetarium with a massive 26.5-meter dome.",marker,
Culture and History,Museums,Science museums,Museum of Emerging Science and Innovation,"JQ9G+PH Koto City, Tokyo, Japan",35.6193125,139.7764375,"The National Museum of Emerging Science and Innovation (commonly known as Miraikan) is a cutting-edge science and technology center located on Tokyo's Odaiba waterfront. Established by Japan’s Science and Technology Agency, it features interactive exhibits ranging from robotics and space exploration to the global environment and the mysteries of the universe.",marker,
Culture and History,Museums,History museums,Tokyo National Museum,"PQ9G+GJ Taito City, Tokyo, Japan",35.7188125,139.7765625,"The Tokyo National Museum is Japan's oldest and largest national museum. Located in Ueno Park, it houses over 110,000 artifacts—including nearly 90 National Treasures—spanning ancient to modern Japanese and Asian art. The sprawling campus features five distinct buildings, rotating exhibits, and tranquil historic tea houses.",marker,
Culture and History,Museums,History museums,"Gion and Southern Higashiyama","2Q3G+C2 Kyoto, Japan",35.0035625,135.7750625,"Gion and Southern Higashiyama form the beating heart of traditional Kyoto. This contiguous area is renowned for its preserved wooden machiya townhouses, ancient temples, and as the city’s premier geisha district.",polygon,
Culture and History,Museums,Architecture museums,"The National Art Center, Tokyo","MP8G+4G Minato City, Tokyo, Japan",35.6653125,139.7263125,"The National Art Center, Tokyo (NACT) is a unique, dynamic museum in the Roppongi district. Designed by renowned architect Kisho Kurokawa, it features a striking wave-like glass facade. Instead of a permanent collection, NACT hosts large-scale rotating temporary exhibitions ranging from historic art to contemporary design.",marker,
Nature,Parks and Gardens,Park,Ueno Park,"PQ7F+W9 Taito City, Tokyo, Japan",35.7148125,139.7734375,"Ueno Park is a sprawling public park in central Tokyo, Japan, established in 1873 on the former grounds of Kan'ei-ji Temple. Welcoming over 10 million visitors annually, it is one of the city's most popular destinations, celebrated as a cultural hub and a premier spot for springtime cherry blossoms.",polygon,
Nature,Parks and Gardens,Park,Nara Park,"MRPV+26 Nara, Japan",34.6850625,135.8430625,"Nara Park is a vast, 660-hectare public park in central Nara, Japan, established in 1880. Famous for its 1,200+ free-roaming sika deer considered messengers of the gods, it also houses world-class historic temples like Todai-ji, Kasuga Taisha, and Kofuku-ji.",polygon,
Nature,Parks and Gardens,Stroll garden,Shinjuku National Garden,"MPP6+32 Shinjuku City, Tokyo, Japan",35.6851875,139.7100625,"Shinjuku Gyoen National Garden is a sprawling 144-acre urban oasis in Tokyo, blending three distinct landscaping styles: a traditional Japanese garden, a formal French garden, and an English landscape garden. Formerly an imperial estate, it features over 1,500 cherry trees, a massive botanical greenhouse, and peaceful, expansive lawns.",polygon,
Nature,Parks and Gardens,Bamboo groves,Arashiyama Bamboo Grove,"2M8C+PG Kyoto, Japan",35.0168125,135.6713125,"The Arashiyama Bamboo Grove is one of Kyoto's most iconic and ethereal sights. Walking along its winding pathways, you are enveloped by towering stalks of mōsō bamboo that filter the sunlight and create a serene, almost otherworldly sensory experience.",polygon,
Nature,Outdoor destination,Mountain hikes,Lake Kawaguchi,"GPFW+58 Fujikawaguchiko, Yamanashi, Japan",35.5229375,138.7458125,"Lake Kawaguchiko is the most accessible and popular of the Fuji Five Lakes, renowned for its iconic, unobstructed views of Mount Fuji. Located in Yamanashi Prefecture, it serves as a premier hot spring resort and an ideal hub for exploring the mountain's surrounding attractions.",polygon,
Nature,Outdoor destination,Mountain hikes,Mitsutogeyama,"GRX5+PP Fujikawaguchiko, Yamanashi, Japan",35.5493125,138.8093125,,polyline,
Nature,Outdoor destination,Mountain hikes,Kumano Kodo Dainichietsu trailhead,,33.829314,135.757647,Ancient pilgrimage routes through cedar forests connecting shrines and tiny onsen towns,marker,
Nature,Outdoor destination,Mountain Peaks,Mount Aso,"V3XQ+728 Aso, Kumamoto, Japan",32.898150,131.087566,"An active volcanic landscape that feels almost Icelandic. Grasslands, steaming vents, massive crater walls",marker,
Nature,Outdoor destination,Coastal Cliffs,Kitayamazaki Cape,"XXH4+PQ Tanohata, Iwate, Japan",39.9793125,141.9569375,"Kitayamazaki Cape, located in Tanohata, Iwate Prefecture, is a breathtaking 8-kilometer stretch of coastline within Sanriku Fukko National Park. Often called the 'Alps of the Ocean,' it features dramatic, 200-meter-high cliffs, uniquely shaped rock formations, and sea caves.",marker,
Nature,Outdoor destination,Coastal Cliffs,Tojinbo Cliffs,"64QG+36 Sakai, Fukui, Japan",36.2376875,136.1255625,"The Tojinbo Cliffs are a spectacular, 1-kilometer stretch of rugged basalt cliffs in Fukui Prefecture, Japan. Famous for their rare, hexagonal columnar rock formations, these dramatic precipices tower up to 30 meters above the crashing waves of the Sea of Japan.",marker,
Nature,Outdoor destination,Coastal Cliffs,Easternmost cliff of Byobugaura,"PR5Q+9J Choshi, Chiba, Japan",35.7084375,140.8390625,"The easternmost edge of the Byobugaura cliffs in Choshi, Japan, offers stunning, untouched views of ancient volcanic and marine strata. Often called the 'Dover of the East', these majestic, steep bluffs stretch for 10 kilometers and are accessible via a scenic walking promenade right by the water.",marker,
Nature,Outdoor destination,Coastal Cliffs,Jogasaki Coast,"V4RQ+CX Itō, Shizuoka, Japan",34.8910625,139.1399375,"The Jogasaki Coast is a stunning, rugged 9-kilometer stretch of the Izu Peninsula in Shizuoka, Japan. Formed 4,000 years ago by cooling lava flows from Mount Omuro, it features dramatic cliffs, maritime forests, and the iconic Kadowaki Suspension Bridge.",marker,
Nature,Outdoor destination,National parks,Fuji-Hakone-Izu National Park,"CMGH+5J Narusawa, Yamanashi, Japan",35.4254375,138.6790625,"Fuji-Hakone-Izu National Park is a diverse, volcanic wonderland famous for Mount Fuji, the Fuji Five Lakes, Hakone's hot springs, and the subtropical Izu Islands. Located just hours from Tokyo, it is Japan's most visited national park, seamlessly blending sacred peaks, rugged coastlines, and rich biodiversity.",polygon,
Nature,Outdoor destination,National Parks,Kamikōchi,"6JXQ+G6 Matsumoto, Nagano, Japan",36.2488125,137.63806250000000,"Forested national park in the Japanese Alps featuring hiking trails, lodging & picturesque views.",marker,
Nature,Outdoor destination,Riverboat embark,Hozugawa river boat cruise,"2H8P+VP Kameoka, Kyoto, Japan",35.0171875,135.5868125,"The Hozugawa River Boat Cruise (Hozugawa Kudari) is a 16-kilometer (10-mile), two-hour traditional wooden boat journey from Kameoka to the Arashiyama district in Kyoto. Guided by charismatic boatmen, it blends breathtaking seasonal scenery and mild rapids with humor and historical storytelling.",marker,
Nature,Outdoor destination,Caves,Akiyoshido Cave,"67MX+FW Mine, Yamaguchi, Japan",34.2336875,131.2998125,"Akiyoshido Cave is Japan’s largest and longest limestone cave, stretching 100 meters underground at the base of the Akiyoshidai Quasi-National Park in Yamaguchi Prefecture. Carved over 300 million years, it features a constant 17°C (62°F) climate and awe-inspiring underground cathedrals, illuminated waterfalls, and ancient rock formations.",marker,
Nature,Outdoor destination,Caves,Ryusendo Cave,"VQ6W+2Q Iwaizumi, Iwate, Japan",39.8600625,141.7969375,"Ryusendo Cave is one of Japan's three great limestone caves, located in Iwaizumi, Iwate Prefecture. Designated as a national natural monument, it features extensive caverns with striking stalactites and vivid, highly transparent underground lakes illuminated in a signature, mystical 'Dragon Blue'. While the explored cave system is estimated to be over 5,000 meters long, a 700-meter path is open to visitors, equipped with elevated walkways and bridges.",marker,
Nature,Seasonal viewing,Cherry blossoms,,,,,,,
Nature,Seasonal viewing,Autumn foliage,,,,,,,
Nature,Seasonal viewing,Snow festivals,,,,,,,
Entertainment,N/A,Theme parks,Universal Studios Japan,"MC8J+7W Osaka, Japan",34.6656875,135.4323125,"Universal Studios Japan is one of the world's most popular and heavily attended theme parks. Attractions include Super Nintendo World (Mario Kart: Koopa's Challenge ride), The Wizarding World of Harry Potter (Harry Potter and the Forbidden Journey ride), Thrilling Coasters (Flying Dinosaur, Hollywood Dream), Anime & Seasonal Events (rotating offerings from Demon Slayer, One Piece, and Monster Hunter), and Universal Wonderland (family-friendly area with Snoopy, Hello Kitty, and Elmo).",marker,
Sports,N/A,Climbing gyms,B-PUMP TOKYO Akihabara,"MQX9+W5 Bunkyo City, Tokyo, Japan",35.6998125,139.7679375,"B-PUMP Tokyo Akihabara is a massive, four-story bouldering gym located just minutes from Akihabara and Suehirocho stations. Renowned for its world-class route setting and welcoming vibe, it caters to everyone from complete beginners to pros, and even features a dedicated rooftop climbing wall.",marker,
Sports,N/A,Climbing gyms,B-PUMP Ogikubo and Shop,"PJ39+WF Suginami City, Tokyo, Japan",35.7048125,139.6186875,"Widely regarded as one of the hardest and most elite bouldering gyms in the world, Tokyo's B-Pump Ogikubo is a mecca for climbers. Located just 30 seconds on foot from Ogikubo Station, it features creative route-setting, a massive replica wall modeling South Africa's Rocklands, and a fully stocked pro shop. B-Pump Ogikubo has a reputation for 'stiff' grading; climbs here frequently feel 2-3 grades harder than in US or European gyms.",marker,
Sports,N/A,Climbing gyms,B-PUMP Yokohama,"FJ5C+J9 Yokohama, Kanagawa, Japan",35.4590625,139.6209375,"B-PUMP Yokohama is a premier bouldering gym located just a 10-minute walk from Yokohama Station. Featuring renovated, world-class routes, the facility challenges everyone from first-timers to seasoned experts with Japanese martial arts-style grading and exceptional routesetting.",marker,
Transportation Experiences,N/A,Ropeways,Mount Fuji Panoramic Ropeway,"GQ3C+JR Fujikawaguchiko, Yamanashi, Japan",35.5040625,138.7720625,"The Mount Fuji Panoramic Ropeway ascends Mount Tenjo from Lake Kawaguchiko, offering a breathtaking 3-minute ride to an observation deck. At the top, visitors enjoy unobstructed, panoramic views of Mount Fuji and the lake, alongside thematic statues from the Japanese folktale 'Kachi-Kachi-Yama'.",marker,
